"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 17 23:24:57 UTC 2023","Sun Dec 17 23:25:01 UTC 2023","3921","","Sign up","","","","with valid credentials",""
"passed","Sun Dec 17 23:25:17 UTC 2023","Sun Dec 17 23:25:19 UTC 2023","2253","","View the transaction detail","","","","as a registered user",""
"passed","Sun Dec 17 23:25:15 UTC 2023","Sun Dec 17 23:25:15 UTC 2023","212","","Sign up","","","","""after each"" hook for Sign up",""
"passed","Sun Dec 17 23:25:03 UTC 2023","Sun Dec 17 23:25:05 UTC 2023","2006","","Creating the new transaction","","","","""after each"" hook for Creating the new transaction",""
"passed","Sun Dec 17 23:25:23 UTC 2023","Sun Dec 17 23:25:24 UTC 2023","1125","","Sign in","","","","""before each"" hook for Sign in",""
"passed","Sun Dec 17 23:26:18 UTC 2023","Sun Dec 17 23:26:22 UTC 2023","3220","","Updating the user settings","","","","with valid credentials",""
"passed","Sun Dec 17 23:25:21 UTC 2023","Sun Dec 17 23:25:24 UTC 2023","2099","","View the transaction detail","","","","like the transaction",""
"passed","Sun Dec 17 23:26:10 UTC 2023","Sun Dec 17 23:26:11 UTC 2023","1494","","View the transaction detail","","","","""before each"" hook for View the transaction detail",""
"passed","Sun Dec 17 23:24:40 UTC 2023","Sun Dec 17 23:24:43 UTC 2023","3047","","The bank account","","","","""after each"" hook for The bank account",""
"passed","Sun Dec 17 23:25:38 UTC 2023","Sun Dec 17 23:25:49 UTC 2023","11444","","Sign up","","","","with invalid credentials",""
"passed","Sun Dec 17 23:25:13 UTC 2023","Sun Dec 17 23:25:15 UTC 2023","1938","","Sign up","","","","with empty required fields",""
"passed","Sun Dec 17 23:24:44 UTC 2023","Sun Dec 17 23:24:45 UTC 2023","200","","Creating the new transaction","","","","""after each"" hook for Creating the new transaction",""
"passed","Sun Dec 17 23:26:38 UTC 2023","Sun Dec 17 23:26:41 UTC 2023","2572","","Updating the user settings","","","","with empty required fields",""
"passed","Sun Dec 17 23:25:51 UTC 2023","Sun Dec 17 23:25:54 UTC 2023","2800","","Sign up","","","","with empty required fields",""
"passed","Sun Dec 17 23:24:55 UTC 2023","Sun Dec 17 23:24:55 UTC 2023","245","","Sign in","","","","""after each"" hook for Sign in",""
"unknown","Sun Dec 17 23:25:14 UTC 2023","Sun Dec 17 23:25:27 UTC 2023","13244","","Sign in","","","","with invalid username",""
"passed","Sun Dec 17 23:25:24 UTC 2023","Sun Dec 17 23:25:27 UTC 2023","2617","","Sign in","","","","""after each"" hook for Sign in",""
"passed","Sun Dec 17 23:25:29 UTC 2023","Sun Dec 17 23:25:44 UTC 2023","14156","","Updating the user settings","","","","with invalid credentials",""
"passed","Sun Dec 17 23:24:33 UTC 2023","Sun Dec 17 23:24:33 UTC 2023","193","","The bank account","","","","""after each"" hook for The bank account",""
"passed","Sun Dec 17 23:24:34 UTC 2023","Sun Dec 17 23:24:39 UTC 2023","4125","","Creating the new transaction","","","","with valid data",""
"passed","Sun Dec 17 23:24:42 UTC 2023","Sun Dec 17 23:24:44 UTC 2023","2752","","Creating the new transaction","","","","with empty required fields",""
"unknown","Sun Dec 17 23:25:18 UTC 2023","Sun Dec 17 23:25:27 UTC 2023","8917","","Sign in","","","","with invalid password",""
"passed","Sun Dec 17 23:26:24 UTC 2023","Sun Dec 17 23:26:36 UTC 2023","12798","","Updating the user settings","","","","with invalid credentials",""
"passed","Sun Dec 17 23:25:24 UTC 2023","Sun Dec 17 23:25:24 UTC 2023","188","","View the transaction detail","","","","""after each"" hook for View the transaction detail",""
"passed","Sun Dec 17 23:26:10 UTC 2023","Sun Dec 17 23:26:12 UTC 2023","2332","","View the transaction detail","","","","like the transaction",""
"passed","Sun Dec 17 23:26:00 UTC 2023","Sun Dec 17 23:26:03 UTC 2023","2369","","View the transaction detail","","","","as a registered user",""
"passed","Sun Dec 17 23:24:14 UTC 2023","Sun Dec 17 23:24:19 UTC 2023","5121","","The bank account","","","","creating with valid credentials",""
"passed","Sun Dec 17 23:24:24 UTC 2023","Sun Dec 17 23:24:28 UTC 2023","4065","","The bank account","","","","creating with empty required fields",""
"passed","Sun Dec 17 23:25:01 UTC 2023","Sun Dec 17 23:25:03 UTC 2023","2755","","Creating the new transaction","","","","with empty required fields",""
"unknown","Sun Dec 17 23:24:50 UTC 2023","Sun Dec 17 23:24:55 UTC 2023","4757","","Sign in","","","","with invalid username",""
"passed","Sun Dec 17 23:25:01 UTC 2023","Sun Dec 17 23:25:02 UTC 2023","1782","","Creating the new transaction","","","","""before each"" hook for Creating the new transaction",""
"passed","Sun Dec 17 23:24:28 UTC 2023","Sun Dec 17 23:24:32 UTC 2023","4323","","The bank account","","","","creating with empty required fields",""
"passed","Sun Dec 17 23:24:42 UTC 2023","Sun Dec 17 23:24:43 UTC 2023","1725","","Creating the new transaction","","","","""before each"" hook for Creating the new transaction",""
"passed","Sun Dec 17 23:25:44 UTC 2023","Sun Dec 17 23:25:47 UTC 2023","3168","","Updating the user settings","","","","with empty required fields",""
"passed","Sun Dec 17 23:25:19 UTC 2023","Sun Dec 17 23:25:21 UTC 2023","2095","","View the transaction detail","","","","writing the valid comment",""
"passed","Sun Dec 17 23:25:54 UTC 2023","Sun Dec 17 23:25:56 UTC 2023","1980","","Sign up","","","","""after each"" hook for Sign up",""
"unknown","Sun Dec 17 23:24:53 UTC 2023","Sun Dec 17 23:24:55 UTC 2023","1347","","Sign in","","","","with empty required fields",""
"passed","Sun Dec 17 23:25:44 UTC 2023","Sun Dec 17 23:25:45 UTC 2023","1078","","Updating the user settings","","","","""before each"" hook for Updating the user settings",""
"passed","Sun Dec 17 23:24:22 UTC 2023","Sun Dec 17 23:24:25 UTC 2023","3541","","The bank account","","","","creating with invalid credentials",""
"passed","Sun Dec 17 23:25:25 UTC 2023","Sun Dec 17 23:25:29 UTC 2023","3932","","Updating the user settings","","","","with valid credentials",""
"passed","Sun Dec 17 23:25:10 UTC 2023","Sun Dec 17 23:25:11 UTC 2023","1523","","Sign in","","","","with valid credentials",""
"passed","Sun Dec 17 23:25:21 UTC 2023","Sun Dec 17 23:25:23 UTC 2023","1331","","View the transaction detail","","","","""before each"" hook for View the transaction detail",""
"unknown","Sun Dec 17 23:25:23 UTC 2023","Sun Dec 17 23:25:27 UTC 2023","4115","","Sign in","","","","with empty required fields",""
"passed","Sun Dec 17 23:26:38 UTC 2023","Sun Dec 17 23:26:40 UTC 2023","1470","","Updating the user settings","","","","""before each"" hook for Updating the user settings",""
"passed","Sun Dec 17 23:24:53 UTC 2023","Sun Dec 17 23:24:54 UTC 2023","889","","Sign in","","","","""before each"" hook for Sign in",""
"passed","Sun Dec 17 23:24:28 UTC 2023","Sun Dec 17 23:24:31 UTC 2023","3036","","The bank account","","","","""before each"" hook for The bank account",""
"unknown","Sun Dec 17 23:24:52 UTC 2023","Sun Dec 17 23:24:55 UTC 2023","3303","","Sign in","","","","with invalid password",""
"passed","Sun Dec 17 23:26:12 UTC 2023","Sun Dec 17 23:26:14 UTC 2023","1963","","View the transaction detail","","","","""after each"" hook for View the transaction detail",""
